n_steps,audit_probability,return_fidelity,expected_score,classical_memory_bound,collective_classical_record_bound,raw_margin_above_classical,systematic_per_branch,null_slack,adjusted_margin,alpha,beta,planned_audit_trials,planned_return_trials,planned_total_trials,planning_feasible
107,0.9015697616460291,0.721447977232611,0.81150886943932,0.75,0.8535533905932737,0.06150886943931999,0.005,0.005,0.05150886943931998,0.01,0.1,1265,1265,2530,True
108,0.9007666221227371,0.7192836333009132,0.8100251277118251,0.75,0.8535533905932737,0.06002512771182511,0.005,0.005,0.0500251277118251,0.01,0.1,1341,1341,2682,True
109,0.8999650888784916,0.7171257824010104,0.808545435639751,0.75,0.8535533905932737,0.05854543563975101,0.005,0.005,0.048545435639751,0.01,0.1,1424,1424,2848,True
110,0.8991651587007345,0.7149744050538074,0.807069781877271,0.75,0.8535533905932737,0.057069781877270964,0.005,0.005,0.047069781877270955,0.01,0.1,1514,1515,3029,True
111,0.8983668283833331,0.712829481838646,0.8055981551109896,0.75,0.8535533905932737,0.055598155110989644,0.005,0.005,0.045598155110989635,0.01,0.1,1614,1614,3228,True
112,0.8975700947265665,0.71069099339313,0.8041305440598483,0.75,0.8535533905932737,0.054130544059848296,0.005,0.005,0.04413054405984829,0.01,0.1,1723,1723,3446,True
113,0.8967749545371133,0.7085589204129507,0.8026669374750319,0.75,0.8535533905932737,0.05266693747503193,0.005,0.005,0.04266693747503192,0.01,0.1,1843,1843,3686,True
114,0.8959814046280391,0.7064332436517117,0.8012073241398754,0.75,0.8535533905932737,0.05120732413987539,0.005,0.005,0.04120732413987538,0.01,0.1,1976,1976,3952,True
115,0.895189441818783,0.7043139439207566,0.7997516928697699,0.75,0.8535533905932737,0.04975169286976988,0.005,0.005,0.03975169286976987,0.01,0.1,2124,2123,4247,True
116,0.8943990629351455,0.7022010020889944,0.7983000325120699,0.75,0.8535533905932737,0.048300032512069935,0.005,0.005,0.038300032512069926,0.01,0.1,2288,2287,4575,True
117,0.8936102648092752,0.7000943990827274,0.7968523319460012,0.75,0.8535533905932737,0.04685233194600125,0.005,0.005,0.03685233194600124,0.01,0.1,2470,2471,4941,True
118,0.8928230442796566,0.6979941158854792,0.7954085800825679,0.75,0.8535533905932737,0.04540858008256787,0.005,0.005,0.035408580082567864,0.01,0.1,2676,2677,5353,True
119,0.8920373981910973,0.6959001335378228,0.7939687658644601,0.75,0.8535533905932737,0.04396876586446008,0.005,0.005,0.03396876586446007,0.01,0.1,2908,2908,5816,True
120,0.8912533233947151,0.6938124331372093,0.7925328782659622,0.75,0.8535533905932737,0.04253287826596219,0.005,0.005,0.032532878265962184,0.01,0.1,3170,3171,6341,True
121,0.8904708167479256,0.6917309958377976,0.7911009062928616,0.75,0.8535533905932737,0.04110090629286156,0.005,0.005,0.031100906292861552,0.01,0.1,3469,3469,6938,True
122,0.8896898751144298,0.6896558028502843,0.7896728389823571,0.75,0.8535533905932737,0.03967283898235707,0.005,0.005,0.029672838982357064,0.01,0.1,3811,3811,7622,True
123,0.888910495364201,0.6875868354417335,0.7882486654029672,0.75,0.8535533905932737,0.03824866540296723,0.005,0.005,0.02824866540296722,0.01,0.1,4204,4205,8409,True
124,0.8881326743734725,0.6855240749354082,0.7868283746544404,0.75,0.8535533905932737,0.03682837465444044,0.005,0.005,0.026828374654440434,0.01,0.1,4662,4661,9323,True
